,p_2012_addm,p_2012_medi,p_2012_nsch,p_2012_sped
Prevalence-2012,1.0,1.0,1.0,1.0
Cases2000,0.8135542628310841,-0.034546293137162884,-0.14564330240568724,0.33322140199266503
Cases2001,0.796435749108067,-0.03909778774689991,-0.164421629618975,0.32658084953493344
Cases2002,0.7004684080559559,-0.023314891718153503,-0.1850815004224543,0.3372020774136864
Cases2003,0.804310725258666,-0.00678917004319292,0.02081728568738125,0.2646577847215243
Cases2004,0.73119875364467,-0.05478758790180892,-0.015984671944603752,0.25730094427058237
Cases2005,0.7293495629653067,-0.05923173380224598,-0.012348981866926232,0.289755951044366
Cases2006,0.6413123017902259,-0.04527248381303246,-0.12000561968595025,0.314058666322722
Cases2007,0.6532223882481039,-0.0458708499373931,-0.15547059045987752,0.4002895646937314
Cases2008,0.6662499003299917,0.01827019970227833,-0.07333114475407258,0.3189985657423678
Cases2009,0.6913266014758424,0.02267815419242992,-0.051349300585551545,0.4073223611708314
Cases2010,0.4188612895020336,0.003848491304749405,-0.11927479450856976,0.407776590696785
Cases2011,0.4475917555263585,-0.0045005183240712085,-0.08673981036774507,0.355495672485237
Cases2012,0.7108722842542237,0.1430566398538551,0.05204439705617577,0.4555931738560323
Opioid-Deaths-2015,0.16637340754964963,-0.22741855388918633,-0.03694552472157088,-0.058042997479857
%>5ug/dl,-0.18201819434407226,-0.1374697329660394,-0.09442886690747224,-0.28422032166610467
UnempRate2010,0.08771446248457564,-0.23972730787820687,0.08333336690011553,-0.017278038852224818
UnempRate2012,0.37684118209758954,-0.2752731084207204,0.15894725935443588,-1.4285410560873816e-05
UnempRate2007,-0.09210326031816987,-0.15095439359620094,0.03869846916346484,-0.08991115865860645
UnempRate2008,0.07223970155848457,-0.12285475034097627,-0.012454477816899425,0.02985025235544187
UnempRate2011,0.18889730961561188,-0.27055285070446433,0.11476219533548557,-0.0324507574957927
PerCapitaInc,0.6290767442397619,0.37698829047317944,-0.13036507638460848,0.6984240048383199
Deep_Pov_Children,-0.02008290267715651,-0.2761812906439327,0.22594944424916652,-0.6351775320881481
Deep_Pov_All,-0.14228195419993675,-0.304631506688683,0.21210042776296745,-0.653649481982043
MedHHInc,0.6961927811086447,0.27725127412622164,-0.11313364614477754,0.7165610972686626
